product_category,customer_state,total_sales_revenue,quantity_sold
"stationary store",PA,2496.81,22
"Room Furniture",BA,2494.43,20
"Imported books",SP,2484.5,37
electronics,DF,2458.04,51
"IMAGE IMPORT TABLETS",SP,2449.76,32
"SIGNALIZATION AND SAFETY",RJ,2445.54,20
housewares,PB,2443.7,23
"Cool Stuff",RO,2440.14,13
"Construction Tools Garden",MG,2432.03,30
automotive,TO,2418.84,16
"fixed telephony",RS,2402.76,19
perfumery,PB,2402.07,18
"Games consoles",GO,2386.84,22
"CONSTRUCTION SECURITY TOOLS",BA,2384.93,7
housewares,MA,2384.76,24
"Fashion Calcados",RJ,2381.11,29
automotive,SE,2373.88,21
telephony,SE,2365.89,28
PCs,PI,2349.99,3
"ELECTRICES 2",AL,2345,2
"Fashion Bags and Accessories",PE,2336.93,36
babies,RN,2334.39,15
"home appliances",PB,2310,2
"pet Shop",RN,2301.68,13
"Agro Industria e Comercio",GO,2298.39,7
"Agro Industria e Comercio",BA,2257,5
"Construction Tools Illumination",RS,2252.53,24
audio,RS,2245.2,16
Furniture,MG,2237.8,7
babies,RO,2214.39,11
"pet Shop",AL,2195.9,3
"CONSTRUCTION SECURITY TOOLS",MS,2185.89,2
"CONSTRUCTION SECURITY TOOLS",PR,2184.51,18
babies,TO,2179.63,7
"Garden tools",MA,2175.47,24
"pet Shop",ES,2171.08,26
"computer accessories",AP,2149.52,9
"Casa Construcao",ES,2148.7,15
"Christmas articles",SP,2143.98,50
"Market Place",BA,2135.69,4
"Room Furniture",SC,2131.37,12
"stationary store",PB,2130.18,18
foods,MG,2115.59,38
"Games consoles",DF,2113.37,28
"Fashion Bags and Accessories",PA,2102.54,31
song,SP,2093.25,12
"CITTE AND UPHACK FURNITURE",SP,2083.9,22
"computer accessories",RO,2081.57,23
electrostile,PB,2068.36,4
"General Interest Books",GO,2062.59,15
"Construction Tools Illumination",PR,2061.88,13
"ELECTRICES 2",BA,2053.78,6
"Room Furniture",PR,2052.51,17
PCs,AL,2049.99,2
audio,DF,2048.23,16
"Furniture Decoration",TO,2047.09,18
"cine photo",SP,2033.91,31
"bed table bath",AL,2023.04,20
"Games consoles",PA,2013.73,14
"Fashion Bags and Accessories",MA,2004.74,26
babies,PB,2002.57,13
"HOUSE PASTALS OVEN AND CAFE",RO,1999,1
"HOUSE PASTALS OVEN AND CAFE",TO,1999,1
"Construction Tools Garden",CE,1988,8
perfumery,PI,1985.57,16
"Garden tools",AM,1980.88,5
"pet Shop",PA,1979.88,11
"Market Place",RS,1978.53,21
audio,GO,1974.88,7
electronics,PE,1971.04,41
"Furniture Kitchen Service Area Dinner and Garden",RS,1969.6,13
toys,RN,1964.52,25
"computer accessories",AM,1960.74,17
drinks,MG,1940.6,26
"fixed telephony",SC,1916.88,7
"Drink foods",MG,1913.9,26
"technical books",MG,1901.03,29
"General Interest Books",SC,1890.22,23
housewares,RN,1882.55,25
toys,TO,1864.15,13
"fixed telephony",PB,1845.79,5
"bed table bath",SE,1812.17,15
"Watches present",AM,1811.35,11
perfumery,TO,1804.93,13
"home appliances",DF,1802.43,15
perfumery,MS,1800.1,25
"Construction Tools Construction",CE,1793.06,10
perfumery,AL,1766.66,12
"technical books",PR,1764.45,15
"musical instruments",PA,1733.37,10
"bed table bath",RO,1732.27,15
"Games consoles",SE,1731.99,6
"stationary store",MS,1728,22
"Construction Tools Tools",MG,1720.05,18
"Construction Tools Construction",MS,1715.01,14
"musical instruments",SE,1714.8,3
climatization,RS,1702.19,15
foods,PR,1694.2,29
"home appliances",CE,1680.9,7
"sport leisure",AC,1677.46,9
"Industry Commerce and Business",MG,1675.96,17
"Games consoles",PI,1670.49,9
"Construction Tools Construction",RN,1655.57,8
"Games consoles",RN,1654.96,6
"Garden tools",AL,1648.08,14
"Watches present",AP,1639.8,8
"House comfort",PR,1637.1,13
"Bags Accessories",PE,1635.26,13
"Bags Accessories",GO,1632.77,12
"House comfort",SC,1626.19,12
"technical books",RJ,1621.68,29
NULL,ES,1614.27,18
NULL,MA,1600.92,11
"General Interest Books",ES,1594.85,11
audio,SC,1592.57,10
"party articles",SP,1585.88,18
"Casa Construcao",CE,1581.65,10
"HOUSE PASTALS OVEN AND CAFE",BA,1574.9,3
"Construction Tools Garden",BA,1569.39,8
"Furniture Decoration",RO,1545.18,13
"House comfort",ES,1538.18,12
"ELECTRICES 2",GO,1537.9,3
"Fashion Men's Clothing",MG,1536.73,20
"Industry Commerce and Business",PE,1528.9,4
"Room Furniture",MA,1519.9,4
"Bags Accessories",PA,1515.63,7
"Furniture Decoration",PI,1515.42,22
electronics,MS,1513.02,22
"Construction Tools Illumination",SC,1499.16,16
electrostile,SE,1486.7,3
